Nose_X,Nose_Y,Nose_prob,Neck_X,Neck_Y,Neck_prob,RShoulder_X,RShoulder_Y,RShoulder_prob,RElbow_X,RElbow_Y,RElbow_prob,RWrist_X,RWrist_Y,RWrist_prob,LShoulder_X,LShoulder_Y,LShoulder_prob,LElbow_X,LElbow_Y,LElbow_prob,LWrist_X,LWrist_Y,LWrist_prob,MidHip_X,MidHip_Y,MidHip_prob,RHip_X,RHip_Y,RHip_prob,RKnee_X,RKnee_Y,RKnee_prob,RAnkle_X,RAnkle_Y,RAnkle_prob,LHip_X,LHip_Y,LHip_prob,LKnee_X,LKnee_Y,LKnee_prob,LAnkle_X,LAnkle_Y,LAnkle_prob,REye_X,REye_Y,REye_prob,LEye_X,LEye_Y,LEye_prob,REar_X,REar_Y,REar_prob,LEar_X,LEar_Y,LEar_prob,LBigToe_X,LBigToe_Y,LBigToe_prob,LSmallToe_X,LSmallToe_Y,LSmallToe_prob,LHeel_X,LHeel_Y,LHeel_prob,RBigToe_X,RBigToe_Y,RBigToe_prob,RSmallToe_X,RSmallToe_Y,RSmallToe_prob,RHeel_X,RHeel_Y,RHeel_prob
0,0,0,183.106,119.338,0.852293,206.849,118.08,0.827572,241.854,161.857,0.806462,225.667,128.101,0.804847,155.599,120.555,0.828131,125.61,163.099,0.862271,133.085,131.833,0.746057,184.325,211.882,0.684166,200.599,211.863,0.623459,203.107,285.648,0.811275,198.131,354.462,0.798108,165.627,213.1,0.670519,164.347,275.708,0.857802,161.82,351.961,0.782312,0,0,0,0,0,0,194.361,94.2839,0.909243,169.366,94.2583,0.867562,150.59,354.446,0.542284,148.097,355.657,0.687103,164.286,358.226,0.822386,200.606,355.685,0.440159,205.648,356.949,0.523287,198.104,363.218,0.760831
0,0,0,183.106,119.32,0.855255,206.846,118.073,0.829529,241.854,161.853,0.806968,225.661,129.305,0.804657,155.598,120.551,0.827781,125.605,163.103,0.863943,134.258,131.826,0.749535,184.329,213.082,0.676165,200.614,211.872,0.619739,203.105,285.65,0.809524,198.133,354.468,0.797412,165.627,213.099,0.664173,164.347,275.696,0.859519,161.826,351.962,0.782484,0,0,0,0,0,0,194.357,94.2651,0.893955,169.36,94.234,0.853893,150.59,354.449,0.53582,148.1,355.659,0.685064,164.294,359.424,0.821485,200.616,355.688,0.443115,205.652,356.951,0.527449,198.106,364.385,0.761588
0,0,0,181.855,119.322,0.828885,205.616,119.301,0.832854,241.849,163.086,0.813401,225.597,130.568,0.79669,155.569,119.334,0.824161,125.561,164.273,0.862912,134.327,131.826,0.705322,184.301,213.113,0.667759,199.37,213.089,0.62007,201.86,285.622,0.787989,198.104,354.477,0.803012,165.605,214.328,0.665106,164.308,280.629,0.819014,161.814,353.189,0.793987,0,0,0,0,0,0,194.339,94.265,0.899794,169.367,93.0463,0.852307,153.1,354.418,0.519699,150.593,354.487,0.653712,163.111,360.68,0.804226,0.0,0.0,0.0,0.0,0.0,0.0,196.882,364.398,0.76806
0,0,0,181.817,119.314,0.817281,205.588,119.296,0.834224,240.605,163.09,0.81497,225.61,129.334,0.797241,155.555,119.318,0.826195,125.543,161.842,0.857163,133.057,133.05,0.766806,183.054,213.122,0.628881,196.869,213.111,0.642625,199.368,285.61,0.79421,198.102,354.471,0.808429,164.388,214.33,0.653208,164.283,279.394,0.806535,161.825,353.213,0.79089,0,0,0,0,0,0,193.13,94.293,0.897277,168.09,93.0664,0.869418,148.109,354.39,0.578265,146.844,354.478,0.725637,164.314,361.964,0.817363,0.0,0.0,0.0,0.0,0.0,0.0,196.878,364.39,0.77209
0,0,0,179.338,119.302,0.821058,204.392,119.311,0.832045,238.148,163.081,0.829371,225.599,133.042,0.798643,154.358,119.296,0.832088,124.35,161.822,0.867427,133.041,129.316,0.792241,181.816,213.089,0.614137,195.676,211.868,0.64758,196.891,285.61,0.812955,198.096,354.474,0.822503,164.316,213.104,0.647754,163.057,283.116,0.781216,161.827,354.385,0.801893,0,0,0,0,0,0,193.112,94.2931,0.898621,168.077,94.2286,0.878864,148.079,353.198,0.591242,146.816,354.473,0.748099,164.321,361.959,0.822339,200.592,354.476,0.456474,205.635,355.732,0.536125,198.096,363.221,0.771675
0,0,0,176.87,119.327,0.842156,204.305,119.322,0.81448,235.698,163.055,0.859677,224.409,130.55,0.790095,154.316,119.314,0.830563,124.282,163.065,0.870728,130.573,131.797,0.773688,179.345,211.863,0.617265,195.621,210.627,0.654575,196.855,285.627,0.816832,196.903,354.479,0.8277,163.1,213.086,0.622685,160.6,283.125,0.760222,161.808,354.404,0.801609,0,0,0,0,0,0,191.828,94.3103,0.85839,166.817,93.0626,0.902923,149.355,353.212,0.537083,146.863,354.478,0.694414,164.305,363.167,0.830971,0.0,0.0,0.0,0.0,0.0,0.0,196.873,364.388,0.774353
0,0,0,176.841,120.561,0.854701,204.336,121.798,0.830174,235.614,164.28,0.912459,224.359,129.302,0.799077,153.084,119.3,0.813655,123.058,161.831,0.842067,128.086,133.026,0.775973,176.87,211.874,0.654908,195.565,211.86,0.673145,195.667,284.414,0.825718,198.107,354.455,0.810052,161.805,213.099,0.611883,158.117,276.936,0.746907,161.834,354.399,0.809493,0,0,0,0,0,0,190.604,94.3182,0.849957,165.631,93.0548,0.907968,149.33,353.205,0.541898,146.849,354.478,0.705578,164.331,363.168,0.832665,0.0,0.0,0.0,0.0,0.0,0.0,196.891,364.393,0.780094
0,0,0,175.612,120.542,0.880287,203.089,121.796,0.816254,235.573,164.27,0.912247,224.328,126.855,0.825571,153.035,119.3,0.793294,121.807,160.608,0.808055,126.861,129.334,0.731671,176.831,211.881,0.662627,194.407,211.863,0.665481,196.84,284.381,0.803179,200.616,354.405,0.801704,160.562,213.113,0.610614,158.087,276.924,0.760827,161.826,354.418,0.809997,0,0,0,0,0,0,188.123,94.3365,0.858948,165.566,93.0743,0.885803,149.349,354.389,0.538684,146.856,354.487,0.698629,164.32,363.188,0.844314,203.082,355.689,0.456515,206.898,356.949,0.53769,200.598,363.17,0.762076
0,0,0,175.583,120.552,0.884593,201.869,121.795,0.804947,234.383,164.29,0.915505,223.104,126.855,0.80183,151.819,119.33,0.779112,119.331,158.118,0.797465,126.862,126.832,0.754632,175.653,210.623,0.674076,194.383,210.597,0.66443,195.677,281.882,0.788929,203.108,353.167,0.796641,159.335,211.863,0.617394,156.886,275.695,0.782116,161.837,354.437,0.803219,0,0,0,0,0,0,188.092,94.3261,0.863661,164.385,93.0541,0.87152,150.579,354.395,0.521499,148.071,355.66,0.679853,164.324,363.208,0.817569,199.355,358.185,0.453065,206.868,358.215,0.502491,204.31,360.704,0.77737
0,0,0,175.568,119.33,0.888881,201.852,121.825,0.805525,234.372,164.303,0.90559,223.101,128.067,0.781442,151.797,118.075,0.782441,119.303,159.314,0.787177,126.807,128.054,0.728894,175.636,210.626,0.680527,194.364,210.612,0.658427,196.871,284.381,0.804777,204.324,353.164,0.808825,159.316,211.86,0.6187,156.844,283.126,0.769332,161.838,354.426,0.807585,0,0,0,0,0,0,188.083,94.3027,0.854653,164.374,93.0699,0.876459,150.574,353.203,0.542429,148.063,354.481,0.703926,164.329,363.195,0.823461,203.07,359.44,0.491152,209.343,359.449,0.54993,204.338,360.708,0.772901
